Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2023-10-01, Phường Bến Nghé,2023,10,4,-0.8660254037844386,0.5000000000000001,20.299023353824083,654265213.4005216,20.40802185477045,20.06934360726414,20.605110988038803,20.3608254833578,20.346792003355088
2023-11-01, Phường Bến Nghé,2023,11,4,-0.5000000000000004,0.8660254037844384,20.706399078001404,983274687.4640088,20.299023353824083,20.40802185477045,20.06934360726414,20.258796271952892,20.2902299731315
2023-12-01, Phường Bến Nghé,2023,12,4,-2.4492935982947064e-16,1.0,20.55525257981932,845342626.795722,20.706399078001404,20.299023353824083,20.40802185477045,20.471148095531976,20.374829090969005
2024-01-01, Phường Bến Nghé,2024,1,1,0.49999999999999994,0.8660254037844387,20.299774794903303,654757039.9255114,20.55525257981932,20.706399078001404,20.299023353824083,20.520225003881603,20.4405252436197
2024-02-01, Phường Bến Nghé,2024,2,1,0.8660254037844386,0.5000000000000001,20.571782000590716,859431772.7101543,20.299774794903303,20.55525257981932,20.706399078001404,20.52047548424134,20.389635878097117
2024-03-01, Phường Bến Nghé,2024,3,1,1.0,6.123233995736766e-17,20.582657373026255,868829422.1767677,20.571782000590716,20.299774794903303,20.55525257981932,20.475603125104445,20.47337561031821
2024-04-01, Phường Bến Nghé,2024,4,2,0.8660254037844387,-0.4999999999999998,20.488996204263753,791148466.6503328,20.582657373026255,20.571782000590716,20.299774794903303,20.484738056173423,20.502481530027513
2024-05-01, Phường Bến Nghé,2024,5,2,0.49999999999999994,-0.8660254037844387,24.16219460920395,31153567720.096325,20.488996204263753,20.582657373026255,20.571782000590716,20.547811859293574,20.53414367176746
2024-06-01, Phường Bến Nghé,2024,6,2,1.2246467991473532e-16,-1.0,20.692157003287456,969370066.2435366,24.16219460920395,20.488996204263753,20.582657373026255,21.744616062164653,21.11010959363455
2024-07-01, Phường Bến Nghé,2024,7,3,-0.4999999999999997,-0.8660254037844388,20.57940151160802,866005234.0562371,20.692157003287456,24.16219460920395,20.488996204263753,21.781115938918386,21.132926997545905
2024-08-01, Phường Bến Nghé,2024,8,3,-0.8660254037844384,-0.5000000000000004,20.411908942298826,732452419.8675427,20.57940151160802,20.692157003287456,24.16219460920395,21.811251041366475,21.179531450330025
2024-09-01, Phường Bến Nghé,2024,9,3,-1.0,-1.8369701987210297e-16,20.07513178683683,523020796.4078932,20.411908942298826,20.57940151160802,20.692157003287456,20.561155819064766,21.15288594061471
2024-10-01, Phường Bến Nghé,2024,10,4,-0.8660254037844386,0.5000000000000001,20.205053334072623,595584201.0973016,20.07513178683683,20.411908942298826,20.57940151160802,20.355480746914562,21.068298342916474
2024-11-01, Phường Bến Nghé,2024,11,4,-0.5000000000000004,0.8660254037844384,20.00885891351787,489482325.2279635,20.205053334072623,20.07513178683683,20.411908942298826,20.230698021069426,21.02097453121795
2024-12-01, Phường Bến Nghé,2024,12,4,-2.4492935982947064e-16,1.0,20.874746416921436,1163555704.3094065,20.00885891351787,20.205053334072623,20.07513178683683,20.096348011475772,20.32875191527027
2025-01-01, Phường Bến Nghé,2025,1,1,0.49999999999999994,0.8660254037844387,21.001881169227662,1321298984.034833,20.874746416921436,20.00885891351787,20.205053334072623,20.362886221503974,20.359183484209268
2025-02-01, Phường Bến Nghé,2025,2,1,0.8660254037844386,0.5000000000000001,20.622082769291286,903767566.131318,21.001881169227662,20.874746416921436,20.00885891351787,20.628495499888988,20.429596760479207
